Zipcode,Latitude,Longitude,Supply_KW,Demand_Month_1_KWh,Demand_Month_2_KWh,Demand_Month_3_KWh,Demand_Month_4_KWh,Demand_Month_5_KWh,Demand_Month_6_KWh,Demand_Month_7_KWh,Demand_Month_8_KWh,Demand_Month_9_KWh,Demand_Month_10_KWh,Demand_Month_11_KWh,Demand_Month_12_KWh
96010,40.913779999999996,-123.30742099999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96013,40.973657,-121.692399,691.3750000000001,1100393.0,863283.0,855015.0,782482.0,760955.0,859859.0,1017717.0,998321.0,816026.0,810108.0,885659.0,1059627.0
96016,40.894269,-121.50702,33.191,196052.0,140665.0,133931.0,119336.0,117699.0,126469.0,148499.0,144241.0,123215.0,121641.0,135550.0,178398.0
96019,40.676564,-122.380909,5.597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96020,40.39796,-121.298528,8.369,1647423.0,1371486.0,1819031.0,1736483.0,1909952.0,2123962.0,2502993.0,2325806.0,1775465.0,1660633.0,1471340.0,1635724.0
96021,39.923446000000006,-122.27080600000001,3087.5999999999995,8051615.0,3786078.0,3559869.0,3193532.0,3710654.0,13496829.0,9465656.0,8801606.0,12267609.0,3244076.0,3715127.0,4543082.0
96022,40.336387,-122.44851100000001,977.197,6467975.0,5162948.0,5013983.0,4435936.0,5237345.0,7206517.0,8990389.0,8877490.0,6336384.0,4655406.0,5235719.0,6062742.0
96028,41.006417,-121.480741,612.0540000000002,568420.0,428035.0,408672.0,360598.0,349958.0,397637.0,473793.0,455526.0,375736.0,363029.0,415567.0,503595.0
96033,40.781633,-122.584149,0.0,176168.0,140596.0,133822.0,122940.0,116571.0,130437.0,156968.0,154790.0,121841.0,118563.0,142082.0,174991.0
96035,40.045637,-122.184859,972.6219999999997,943760.0,731333.0,681146.0,598835.0,696568.0,970942.0,1209683.0,1151470.0,824034.0,589626.0,693909.0,839715.0
96040,40.793535,-121.438607,8.897,127867.0,101441.0,85988.0,77327.0,73392.0,84178.0,105784.0,96030.0,76333.0,75274.0,90260.0,111828.0
96047,40.471076000000004,-122.660955,0.0,231216.0,199281.0,206105.0,195189.0,194827.0,220888.0,270640.0,273138.0,208172.0,179055.0,207599.0,223001.0
96051,40.9332,-122.38278799999999,0.0,516932.0,400034.0,388970.0,358624.0,357803.0,470121.0,627326.0,580805.0,408313.0,324095.0,391621.0,456355.0
96055,40.103235999999995,-122.074735,1785.1120000000005,2019790.0,1093287.0,1004773.0,887229.0,978686.0,1367170.0,1677802.0,1620562.0,1177354.0,906501.0,1090082.0,1411666.0
96056,41.028176,-121.30831599999999,1449.756,612580.0,452018.0,436271.0,384934.0,1537646.0,2187414.0,2760085.0,2237946.0,1260721.0,403532.0,456724.0,556500.0
96059,40.421637,-121.833052,24.318,242174.0,191417.0,184491.0,173340.0,161110.0,200334.0,249604.0,242544.0,191136.0,167544.0,186247.0,203951.0
96061,40.338068,-121.47907,0.0,9231.0,8769.0,10514.0,10518.0,18861.0,19245.0,23965.0,20813.0,22897.0,18130.0,16839.0,18397.0
96062,40.580119,-122.041403,18.493,452000.0,345976.0,333833.0,291216.0,319807.0,464739.0,579854.0,571658.0,407485.0,302611.0,366406.0,434525.0
96063,40.370467,-121.606306,30.611,58325.0,43853.0,43378.0,44953.0,51557.0,55253.0,63350.0,56467.0,57237.0,56749.0,58290.0,65269.0
96065,40.87908,-121.89326399999999,0.0,132217.0,118624.0,118292.0,110055.0,93641.0,102956.0,116626.0,114036.0,97545.0,94155.0,99781.0,112943.0
96068,41.118402,-121.20756399999999,90.493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96069,40.685336,-122.01606899999999,26.108,260157.0,224038.0,223873.0,208573.0,203138.0,251965.0,303839.0,316174.0,246705.0,223008.0,286438.0,302097.0
96071,40.663854,-121.46106,0.0,67920.0,50475.0,52461.0,61395.0,71696.0,75073.0,89252.0,78497.0,79648.0,78093.0,61689.0,70210.0
96073,40.603066,-122.18665700000001,115.845,1907420.0,1447576.0,1322633.0,1121175.0,1162073.0,1784887.0,2277318.0,2242582.0,1538476.0,1100734.0,1464972.0,1760367.0
96075,40.343242,-121.852205,35.446,126086.0,101996.0,96819.0,93790.0,81790.0,87134.0,103203.0,102646.0,83009.0,81046.0,98056.0,103295.0
96076,40.391542,-122.93788300000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96080,40.18189,-122.377104,5994.839999999998,13918023.0,11609086.0,11562517.0,10414017.0,12873331.0,17382879.0,28757700.0,28528021.0,16114684.0,11884822.0,12096475.0,13639356.0
96084,40.844643,-121.969849,25.105999999999998,300889.0,244964.0,230703.0,218846.0,208762.0,222632.0,243043.0,246035.0,222796.0,208452.0,241194.0,275102.0
96087,40.619997999999995,-122.64364199999999,0.0,381017.0,306573.0,284566.0,259495.0,254824.0,314480.0,386701.0,387236.0,296807.0,234318.0,284669.0,343217.0
96088,40.510870000000004,-121.876112,94.245,1858349.0,1516144.0,1540872.0,1432033.0,1314503.0,1430491.0,1603398.0,1593193.0,1394212.0,1368236.0,1584443.0,1766227.0
96090,40.021716,-122.127821,0.0,0.0,93495.0,89718.0,81241.0,105332.0,144692.0,185453.0,176772.0,123875.0,87344.0,104173.0,126362.0
96092,39.96332,-122.017242,379.947,197854.0,148742.0,133001.0,118674.0,131650.0,181688.0,213507.0,205653.0,154693.0,120728.0,144203.0,183713.0
96095,,,12.842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96096,40.654092999999996,-121.822848,41.886,219124.0,174678.0,182992.0,179415.0,175362.0,200408.0,235303.0,240112.0,203265.0,190655.0,226589.0,234510.0
96125,39.602711,-120.63615,1.73,109786.0,91872.0,97271.0,89247.0,86675.0,99728.0,123256.0,112355.0,104735.0,104033.0,98348.0,110488.0
96130,40.551757,-120.675673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96137,40.270731,-121.03946100000002,0.0,1032369.0,1197112.0,843053.0,812742.0,873278.0,1025427.0,1409336.0,1178439.0,993476.0,910177.0,1247483.0,1178414.0
96161,39.313089,-120.207783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
